날짜,관측소,기온,강수량,풍속,습도
2024-01-01,AWS001,,4.4,4.7,nan
2024-01-02,AWS001,,0.6,3.3,39.0
2024-01-03,AWS001,,,4.7,90.0
2024-01-04,AWS001,-12.7,5.3,3.6,53.0
2024-01-05,AWS001,-9.0,0.8,5.0,50.0
2024-01-06,AWS001,-1.9,3.9,4.7,67.0
2024-01-07,AWS001,0.1,,5.9,50.0
2024-01-08,AWS001,2.2,,1.0,83.0
2024-01-09,AWS001,-1.1,6.3,4.5,51.0
2024-01-10,AWS001,-1.2,0.8,5.4,43.0
2024-01-11,AWS001,,4.5,2.0,67.0
2024-01-12,AWS001,6.0,4.2,2.1,66.0
2024-01-13,AWS001,-7.5,1.2,2.3,72.0
2024-01-14,AWS001,,,1.4,59.0
2024-01-15,AWS001,-6.9,1.9,3.6,74.0
2024-01-16,AWS001,0.7,3.4,0.2,64.0
2024-01-17,AWS001,-7.2,0.2,3.7,49.0
2024-01-18,AWS001,1.7,3.2,5.2,46.0
2024-01-19,AWS001,-1.4,4.6,1.6,87.0
2024-01-20,AWS001,6.7,2.2,0.5,39.0
2024-01-21,AWS001,,1.6,2.7,69.0
2024-01-22,AWS001,,0.5,2.0,93.0
2024-01-23,AWS001,-5.9,0.4,1.2,42.0
2024-01-24,AWS001,,1.1,0.8,93.0
2024-01-25,AWS001,,0.7,1.0,40.0
2024-01-26,AWS001,-9.6,1.6,1.4,39.0
2024-01-27,AWS001,-9.1,4.3,0.9,46.0
2024-01-28,AWS001,1.0,2.4,3.6,84.0
2024-01-29,AWS001,,0.9,5.5,69.0
2024-01-30,AWS001,-5.0,5.6,1.4,nan
2024-01-31,AWS001,-5.7,3.3,3.1,73.0
2024-02-01,AWS001,-5.5,0.3,6.0,77.0
2024-02-02,AWS001,-1.4,3.7,5.1,42.0
2024-02-03,AWS001,0.2,3.0,1.5,89.0
2024-02-04,AWS001,-12.5,2.8,2.6,61.0
2024-02-05,AWS001,5.1,1.9,1.0,82.0
2024-02-06,AWS001,4.7,3.0,2.9,67.0
2024-02-07,AWS001,-13.7,2.3,1.1,61.0
2024-02-08,AWS001,3.4,2.1,2.2,91.0
2024-02-09,AWS001,3.3,,0.3,51.0
2024-02-10,AWS001,-2.0,0.5,0.8,83.0
2024-02-11,AWS001,-8.5,4.1,2.3,53.0
2024-02-12,AWS001,3.1,0.1,0.7,68.0
2024-02-13,AWS001,,0.7,0.5,31.0
2024-02-14,AWS001,0.7,1.4,2.7,42.0
2024-02-15,AWS001,9.1,3.5,2.3,nan
2024-02-16,AWS001,-0.7,1.3,5.1,81.0
2024-02-17,AWS001,-6.6,3.3,1.6,30.0
2024-02-18,AWS001,-3.7,1.8,0.7,86.0
2024-02-19,AWS001,-5.9,2.8,0.2,71.0
2024-02-20,AWS001,0.2,3.3,2.7,69.0
2024-02-21,AWS001,-6.0,0.3,1.1,nan
2024-02-22,AWS001,-4.4,0.2,1.5,78.0
2024-02-23,AWS001,-8.4,4.3,1.1,nan
2024-02-24,AWS001,-2.7,3.3,0.8,66.0
2024-02-25,AWS001,-1.1,2.5,0.2,72.0
2024-02-26,AWS001,-15.4,1.8,2.9,89.0
2024-02-27,AWS001,-0.7,3.0,5.9,85.0
2024-02-28,AWS001,-2.2,2.1,4.0,33.0
2024-02-29,AWS001,-5.8,4.6,1.1,85.0
2024-03-01,AWS001,8.1,1.9,1.9,53.0
2024-03-02,AWS001,2.8,3.1,3.0,93.0
2024-03-03,AWS001,-7.5,1.6,0.7,44.0
2024-03-04,AWS001,2.2,2.1,1.3,76.0
2024-03-05,AWS001,4.2,2.3,4.3,59.0
2024-03-06,AWS001,-1.3,2.8,0.2,91.0
2024-03-07,AWS001,-0.2,4.3,2.6,75.0
2024-03-08,AWS001,-0.3,1.4,2.3,76.0
2024-03-09,AWS001,,0.2,5.8,39.0
2024-03-10,AWS001,-2.9,,2.4,90.0
2024-03-11,AWS001,-3.2,,1.6,88.0
2024-03-12,AWS001,5.2,1.6,0.7,nan
2024-03-13,AWS001,-0.3,0.2,2.6,93.0
2024-03-14,AWS001,-3.5,3.7,2.8,87.0
2024-03-15,AWS001,-2.5,3.5,1.2,30.0
2024-03-16,AWS001,3.1,2.0,5.8,50.0
2024-03-17,AWS001,-2.9,,2.3,46.0
2024-03-18,AWS001,-5.5,1.4,2.4,74.0
2024-03-19,AWS001,-3.4,1.9,4.4,56.0
2024-03-20,AWS001,2.7,2.1,1.1,89.0
2024-03-21,AWS001,0.5,0.4,2.7,nan
2024-03-22,AWS001,-1.8,3.5,5.9,47.0
2024-03-23,AWS001,-1.0,2.4,1.1,44.0
2024-03-24,AWS001,-4.8,1.1,3.1,64.0
2024-03-25,AWS001,-3.0,0.9,4.3,90.0
2024-03-26,AWS001,-5.3,0.3,1.3,61.0
2024-03-27,AWS001,-3.5,1.5,1.5,69.0
2024-03-28,AWS001,4.7,3.6,2.6,nan
2024-03-29,AWS001,-7.4,1.8,0.9,44.0
2024-03-30,AWS001,-5.4,,2.6,37.0
2024-03-31,AWS001,,,1.0,59.0
2024-01-01,AWS002,,1.4,4.1,45.0
2024-01-02,AWS002,,2.1,4.4,nan
2024-01-03,AWS002,,3.5,5.5,75.0
2024-01-04,AWS002,-5.7,,0.5,72.0
2024-01-05,AWS002,,1.2,2.6,83.0
2024-01-06,AWS002,,0.5,2.2,51.0
2024-01-07,AWS002,0.8,0.3,3.8,30.0
2024-01-08,AWS002,-0.8,,4.8,49.0
2024-01-09,AWS002,-3.2,2.8,3.0,30.0
2024-01-10,AWS002,4.0,1.8,0.3,32.0
2024-01-11,AWS002,-1.3,4.0,4.3,49.0
2024-01-12,AWS002,-11.8,2.3,5.5,42.0
2024-01-13,AWS002,-7.6,3.0,2.0,82.0
2024-01-14,AWS002,-2.9,2.3,2.6,55.0
2024-01-15,AWS002,-0.5,4.4,1.0,85.0
2024-01-16,AWS002,,1.5,4.4,55.0
2024-01-17,AWS002,4.1,2.9,6.6,48.0
2024-01-18,AWS002,-11.8,1.5,3.8,88.0
2024-01-19,AWS002,-1.3,2.9,1.1,90.0
2024-01-20,AWS002,-11.1,1.6,0.6,66.0
2024-01-21,AWS002,,3.3,4.3,nan
2024-01-22,AWS002,-2.5,1.0,4.9,40.0
2024-01-23,AWS002,0.1,2.3,0.8,57.0
2024-01-24,AWS002,-6.3,4.0,1.7,43.0
2024-01-25,AWS002,4.4,3.6,4.7,59.0
2024-01-26,AWS002,3.2,2.7,2.6,nan
2024-01-27,AWS002,0.9,2.7,1.9,93.0
2024-01-28,AWS002,-2.6,5.5,2.8,39.0
2024-01-29,AWS002,0.9,1.2,2.3,81.0
2024-01-30,AWS002,-5.5,2.1,1.6,33.0
2024-01-31,AWS002,2.3,6.8,2.2,64.0
2024-02-01,AWS002,6.2,1.9,2.5,61.0
2024-02-02,AWS002,3.4,4.6,1.7,45.0
2024-02-03,AWS002,-5.6,5.6,4.7,75.0
2024-02-04,AWS002,-0.2,2.1,1.1,59.0
2024-02-05,AWS002,-8.5,5.6,1.5,30.0
2024-02-06,AWS002,0.9,1.1,3.4,35.0
2024-02-07,AWS002,0.3,,2.9,59.0
2024-02-08,AWS002,-11.3,0.6,3.1,56.0
2024-02-09,AWS002,-7.8,1.3,1.9,73.0
2024-02-10,AWS002,,0.7,3.7,67.0
2024-02-11,AWS002,-3.5,3.8,2.7,51.0
2024-02-12,AWS002,-8.0,2.9,4.4,86.0
2024-02-13,AWS002,,2.0,1.8,80.0
2024-02-14,AWS002,-0.7,2.3,2.2,61.0
2024-02-15,AWS002,-3.0,2.5,3.6,44.0
2024-02-16,AWS002,-5.8,,1.0,39.0
2024-02-17,AWS002,3.2,1.4,1.7,48.0
2024-02-18,AWS002,6.3,3.6,0.9,76.0
2024-02-19,AWS002,-4.4,,2.3,38.0
2024-02-20,AWS002,-5.1,5.0,0.5,nan
2024-02-21,AWS002,0.5,4.6,2.1,39.0
2024-02-22,AWS002,-3.8,2.2,3.8,79.0
2024-02-23,AWS002,-2.7,5.3,2.1,52.0
2024-02-24,AWS002,1.7,5.0,0.1,47.0
2024-02-25,AWS002,-11.5,,3.9,80.0
2024-02-26,AWS002,4.6,2.2,0.4,75.0
2024-02-27,AWS002,-1.6,,2.1,74.0
2024-02-28,AWS002,-4.1,,3.0,74.0
2024-02-29,AWS002,-2.4,2.3,1.6,48.0
2024-03-01,AWS002,-2.2,4.1,1.3,74.0
2024-03-02,AWS002,-10.7,2.1,2.6,48.0
2024-03-03,AWS002,5.5,0.9,1.9,88.0
2024-03-04,AWS002,-1.8,3.0,0.9,83.0
2024-03-05,AWS002,,2.5,6.2,74.0
2024-03-06,AWS002,2.8,3.7,0.8,72.0
2024-03-07,AWS002,-7.1,2.3,0.3,47.0
2024-03-08,AWS002,0.4,0.1,7.1,76.0
2024-03-09,AWS002,,1.3,0.7,35.0
2024-03-10,AWS002,2.2,6.1,0.6,74.0
2024-03-11,AWS002,-12.6,3.2,1.3,46.0
2024-03-12,AWS002,-2.5,5.7,0.4,67.0
2024-03-13,AWS002,,3.8,1.5,32.0
2024-03-14,AWS002,0.2,0.6,2.5,64.0
2024-03-15,AWS002,0.4,3.0,0.5,nan
2024-03-16,AWS002,-5.5,3.8,5.1,30.0
2024-03-17,AWS002,-5.6,0.6,1.1,84.0
2024-03-18,AWS002,-2.6,2.8,5.2,nan
2024-03-19,AWS002,-6.5,0.0,5.4,47.0
2024-03-20,AWS002,2.2,8.6,4.7,33.0
2024-03-21,AWS002,-3.8,5.0,4.4,34.0
2024-03-22,AWS002,-16.5,3.2,3.0,90.0
2024-03-23,AWS002,-3.9,0.5,2.4,nan
2024-03-24,AWS002,-7.2,,1.2,81.0
2024-03-25,AWS002,-10.2,1.3,0.7,69.0
2024-03-26,AWS002,-8.2,,1.1,60.0
2024-03-27,AWS002,-1.5,0.7,0.8,31.0
2024-03-28,AWS002,4.6,5.6,4.8,93.0
2024-03-29,AWS002,-0.4,1.8,3.6,nan
2024-03-30,AWS002,-5.0,,4.7,84.0
2024-03-31,AWS002,0.3,,0.6,59.0
2024-01-01,AWS003,,2.5,0.7,58.0
2024-01-02,AWS003,,6.1,4.3,32.0
2024-01-03,AWS003,,0.4,5.8,39.0
2024-01-04,AWS003,-2.2,2.4,3.4,89.0
2024-01-05,AWS003,-6.1,0.4,0.4,85.0
2024-01-06,AWS003,-7.6,1.4,0.0,57.0
2024-01-07,AWS003,-0.7,0.5,1.0,42.0
2024-01-08,AWS003,-0.9,1.1,3.0,nan
2024-01-09,AWS003,1.9,4.0,0.3,70.0
2024-01-10,AWS003,,2.1,4.7,46.0
2024-01-11,AWS003,0.0,1.6,0.9,46.0
2024-01-12,AWS003,0.8,1.0,0.8,50.0
2024-01-13,AWS003,0.2,0.5,0.1,46.0
2024-01-14,AWS003,-6.1,3.0,4.1,49.0
2024-01-15,AWS003,-1.3,0.5,1.7,48.0
2024-01-16,AWS003,,6.5,1.3,75.0
2024-01-17,AWS003,-2.0,0.5,2.4,46.0
2024-01-18,AWS003,-12.4,4.3,1.7,32.0
2024-01-19,AWS003,-1.2,4.4,4.4,36.0
2024-01-20,AWS003,9.1,1.8,0.9,nan
2024-01-21,AWS003,-3.8,,5.3,58.0
2024-01-22,AWS003,-5.6,3.8,0.1,72.0
2024-01-23,AWS003,-0.1,1.3,1.1,81.0
2024-01-24,AWS003,-0.4,2.1,2.0,59.0
2024-01-25,AWS003,4.0,5.9,6.5,55.0
2024-01-26,AWS003,-8.3,0.3,3.4,nan
2024-01-27,AWS003,1.7,6.1,3.3,84.0
2024-01-28,AWS003,1.0,0.8,2.9,45.0
2024-01-29,AWS003,-2.7,0.1,0.7,47.0
2024-01-30,AWS003,-0.3,1.0,9.3,80.0
2024-01-31,AWS003,3.1,0.0,0.7,77.0
2024-02-01,AWS003,2.4,2.4,2.8,32.0
2024-02-02,AWS003,-7.7,2.5,6.4,46.0
2024-02-03,AWS003,2.1,0.7,3.1,67.0
2024-02-04,AWS003,-2.3,0.1,3.2,41.0
2024-02-05,AWS003,-1.6,,1.8,39.0
2024-02-06,AWS003,-1.6,3.9,2.6,33.0
2024-02-07,AWS003,-2.8,2.0,1.8,33.0
2024-02-08,AWS003,4.0,1.7,2.7,80.0
2024-02-09,AWS003,-2.4,,0.7,31.0
2024-02-10,AWS003,-7.6,1.5,0.8,37.0
2024-02-11,AWS003,-4.0,2.3,2.2,83.0
2024-02-12,AWS003,-1.1,2.3,1.5,55.0
2024-02-13,AWS003,4.1,,3.7,73.0
2024-02-14,AWS003,1.0,,2.3,nan
2024-02-15,AWS003,,5.5,1.0,86.0
2024-02-16,AWS003,10.4,3.7,0.5,77.0
2024-02-17,AWS003,-0.7,6.2,1.7,71.0
2024-02-18,AWS003,,0.3,4.4,62.0
2024-02-19,AWS003,-2.8,0.5,1.6,47.0
2024-02-20,AWS003,0.7,1.0,1.4,81.0
2024-02-21,AWS003,2.2,3.1,0.4,62.0
2024-02-22,AWS003,4.1,3.5,3.7,48.0
2024-02-23,AWS003,3.3,1.4,0.8,41.0
2024-02-24,AWS003,2.4,,3.7,59.0
2024-02-25,AWS003,,0.9,1.9,87.0
2024-02-26,AWS003,-4.9,,4.7,36.0
2024-02-27,AWS003,-0.3,0.5,1.3,69.0
2024-02-28,AWS003,2.7,3.9,2.3,81.0
2024-02-29,AWS003,-3.1,1.8,0.5,36.0
2024-03-01,AWS003,3.3,1.2,0.2,94.0
2024-03-02,AWS003,5.3,0.8,0.8,52.0
2024-03-03,AWS003,-6.6,0.7,1.2,90.0
2024-03-04,AWS003,-6.2,0.0,1.4,54.0
2024-03-05,AWS003,,1.0,3.1,57.0
2024-03-06,AWS003,-0.5,0.5,2.3,87.0
2024-03-07,AWS003,-4.6,0.6,0.2,80.0
2024-03-08,AWS003,4.8,3.0,0.4,34.0
2024-03-09,AWS003,0.1,3.0,0.0,38.0
2024-03-10,AWS003,-1.8,4.2,1.4,92.0
2024-03-11,AWS003,-9.2,4.8,1.4,79.0
2024-03-12,AWS003,-8.6,3.7,7.1,nan
2024-03-13,AWS003,-0.6,0.5,0.8,71.0
2024-03-14,AWS003,-12.7,,1.7,52.0
2024-03-15,AWS003,3.1,1.5,2.3,nan
2024-03-16,AWS003,-2.8,0.1,3.2,84.0
2024-03-17,AWS003,14.2,5.9,4.7,93.0
2024-03-18,AWS003,9.5,2.0,2.7,78.0
2024-03-19,AWS003,-2.9,,3.3,82.0
2024-03-20,AWS003,,3.0,2.8,50.0
2024-03-21,AWS003,3.0,1.3,1.1,91.0
2024-03-22,AWS003,6.5,2.6,3.6,73.0
2024-03-23,AWS003,-10.2,0.3,2.9,39.0
2024-03-24,AWS003,-10.9,3.8,1.7,nan
2024-03-25,AWS003,-5.1,5.4,2.4,59.0
2024-03-26,AWS003,,,5.7,86.0
2024-03-27,AWS003,0.5,0.4,1.9,79.0
2024-03-28,AWS003,,1.2,3.4,72.0
2024-03-29,AWS003,-8.0,3.6,3.8,87.0
2024-03-30,AWS003,-13.6,,1.5,nan
2024-03-31,AWS003,2.3,,1.6,86.0
